               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.027206,           0.0046035,           0.0010898,             0.94347,             0.89346,             0.91986,             0.66116,            0.025134,           0.0033215,          0.00046808,             0.00241,             0.00241,             0.00241
                 117,            0.027093,           0.0045626,           0.0010673,             0.94351,             0.89394,             0.92015,             0.66219,            0.025074,           0.0033149,          0.00046289,            0.002344,            0.002344,            0.002344
                 118,            0.027035,           0.0045517,           0.0010666,             0.94285,             0.89404,             0.92045,             0.66303,            0.025019,           0.0033079,          0.00045658,            0.002278,            0.002278,            0.002278
                 119,             0.02691,           0.0045627,           0.0010357,             0.94287,             0.89496,             0.92104,             0.66423,            0.024965,           0.0033013,          0.00045097,            0.002212,            0.002212,            0.002212
                 120,            0.026842,           0.0045341,           0.0010536,             0.94344,             0.89503,             0.92135,             0.66488,            0.024921,           0.0032953,          0.00044583,            0.002146,            0.002146,            0.002146
                 121,            0.026624,           0.0045592,          0.00096768,             0.94287,             0.89536,             0.92135,             0.66535,            0.024875,            0.003289,          0.00044049,             0.00208,             0.00208,             0.00208
                 122,            0.026494,            0.004513,          0.00099339,             0.94407,             0.89512,             0.92145,             0.66608,            0.024824,           0.0032835,          0.00043638,            0.002014,            0.002014,            0.002014
                 123,            0.026562,           0.0044945,          0.00091043,             0.94427,             0.89491,             0.92141,             0.66712,            0.024776,           0.0032772,          0.00043116,            0.001948,            0.001948,            0.001948
                 124,             0.02651,            0.004508,          0.00096839,             0.94468,             0.89521,             0.92158,             0.66774,            0.024727,           0.0032712,          0.00042691,            0.001882,            0.001882,            0.001882
                 125,             0.02627,           0.0044756,          0.00091614,             0.94504,              0.8954,             0.92187,             0.66819,            0.024682,           0.0032648,          0.00041972,            0.001816,            0.001816,            0.001816
                 126,            0.026213,           0.0044936,          0.00090736,             0.94553,             0.89543,             0.92234,             0.66916,            0.024627,            0.003258,          0.00041337,             0.00175,             0.00175,             0.00175
                 127,            0.026029,           0.0044559,          0.00086031,             0.94545,              0.8965,             0.92276,             0.66936,            0.024583,           0.0032516,          0.00040935,            0.001684,            0.001684,            0.001684
                 128,            0.025787,           0.0044325,          0.00086179,             0.94527,             0.89773,             0.92303,             0.66975,            0.024542,           0.0032451,          0.00040539,            0.001618,            0.001618,            0.001618
                 129,            0.025858,           0.0044112,          0.00083536,             0.94436,             0.89835,             0.92334,             0.67037,            0.024489,           0.0032381,          0.00039988,            0.001552,            0.001552,            0.001552
                 130,            0.025615,           0.0043666,          0.00082011,             0.94452,             0.89919,             0.92444,             0.67135,            0.024446,           0.0032312,          0.00039355,            0.001486,            0.001486,            0.001486
                 131,            0.025535,           0.0043578,          0.00080184,             0.94512,             0.89918,             0.92459,             0.67185,            0.024396,           0.0032247,          0.00038687,             0.00142,             0.00142,             0.00142
                 132,            0.025468,           0.0043489,          0.00074967,             0.94598,             0.89951,             0.92434,             0.67253,            0.024345,           0.0032176,           0.0003813,            0.001354,            0.001354,            0.001354
                 133,            0.025374,           0.0043359,          0.00076083,             0.94618,             0.90025,             0.92495,             0.67355,            0.024295,           0.0032109,          0.00037583,            0.001288,            0.001288,            0.001288
                 134,            0.025346,           0.0043074,          0.00073733,             0.94585,             0.90087,             0.92526,             0.67398,            0.024249,           0.0032039,          0.00036927,            0.001222,            0.001222,            0.001222
                 135,             0.02515,           0.0042676,           0.0007028,             0.94592,             0.90078,              0.9248,             0.67479,            0.024197,           0.0031964,           0.0003634,            0.001156,            0.001156,            0.001156
                 136,            0.024997,           0.0042668,           0.0006635,             0.94615,              0.9007,             0.92534,             0.67544,            0.024146,           0.0031887,          0.00035631,             0.00109,             0.00109,             0.00109
                 137,            0.024736,           0.0042983,          0.00066151,             0.94561,             0.90133,             0.92585,             0.67627,            0.024103,            0.003182,          0.00034954,            0.001024,            0.001024,            0.001024
                 138,             0.02457,           0.0042403,          0.00068884,             0.94588,             0.90189,             0.92659,             0.67701,            0.024063,           0.0031758,          0.00034288,            0.000958,            0.000958,            0.000958
                 139,            0.024542,           0.0042195,           0.0006049,             0.94651,             0.90181,             0.92721,             0.67746,            0.024012,           0.0031689,          0.00033749,            0.000892,            0.000892,            0.000892
                 140,              0.0245,           0.0042383,          0.00060298,             0.94627,             0.90228,             0.92783,             0.67859,            0.023966,           0.0031623,          0.00033198,            0.000826,            0.000826,            0.000826
                 141,            0.024256,           0.0041902,          0.00056259,             0.94665,              0.9022,             0.92774,             0.67939,            0.023925,            0.003156,          0.00032673,             0.00076,             0.00076,             0.00076
                 142,            0.024204,           0.0041745,          0.00054658,             0.94642,             0.90277,             0.92803,             0.67991,            0.023876,           0.0031492,          0.00032106,            0.000694,            0.000694,            0.000694
                 143,            0.023911,           0.0041362,          0.00051959,             0.94534,             0.90379,             0.92823,             0.68073,            0.023831,           0.0031425,          0.00031512,            0.000628,            0.000628,            0.000628
                 144,            0.023858,           0.0041396,          0.00050762,             0.94593,             0.90397,              0.9282,             0.68118,            0.023794,           0.0031363,          0.00030908,            0.000562,            0.000562,            0.000562
                 145,            0.023688,           0.0041219,          0.00052918,             0.94665,              0.9035,             0.92828,             0.68176,            0.023756,           0.0031298,          0.00030358,            0.000496,            0.000496,            0.000496
                 146,            0.023573,           0.0040896,          0.00048568,             0.94698,             0.90324,             0.92824,             0.68242,            0.023722,           0.0031239,          0.00029766,             0.00043,             0.00043,             0.00043
                 147,            0.023463,           0.0040791,           0.0004537,              0.9482,             0.90315,             0.92829,             0.68256,            0.023691,           0.0031181,          0.00029227,            0.000364,            0.000364,            0.000364
                 148,            0.023119,           0.0040673,           0.0004288,             0.94847,             0.90314,             0.92844,             0.68344,            0.023652,           0.0031121,          0.00028633,            0.000298,            0.000298,            0.000298
                 149,              0.0232,           0.0040079,          0.00043247,             0.94856,             0.90355,             0.92883,             0.68367,             0.02362,           0.0031065,          0.00028096,            0.000232,            0.000232,            0.000232
